,0,1,2,3
62,62,-8.344266666666666,0.00998645168764533,"[13, 5, 5, 4, 1, 12, 1, 5, 12, 10, 9, 9, 1, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
63,63,-6.560366666666665,0.00998645168764533,"[7, 4, 5, 5, 4, 10, 10, 3, 1, 1, 5, 1, 10, 0, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10]"
64,64,-3.2758666666666674,0.00998645168764533,"[0, 5, 5, 4, 12, 1, 5, 12, 4, 1, 1, 10, 15, 0, 10, 10, 0, 15, 10, 10, 10, 10, 4, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
65,65,-6.836766666666666,0.00998645168764533,"[5, 1, 4, 5, 12, 1, 4, 5, 7, 7, 4, 7, 10, 4, 4, 4, 4, 1, 4, 4, 4, 4, 13, 4, 4, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5]"
66,66,-7.807966666666666,0.00998645168764533,"[7, 1, 5, 4, 5, 1, 4, 5, 7, 7, 1, 4, 15, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 10, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1]"
67,67,-4.237233333333333,0.00998645168764533,"[13, 1, 5, 1, 5, 1, 4, 13, 4, 5, 7, 7, 4, 7, 4, 4, 4, 4, 4, 3, 11, 4, 4, 4, 6, 3, 4, 4, 4, 4, 4, 5, 5, 3, 13, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
68,68,-4.962300000000001,0.00998645168764533,"[7, 4, 5, 5, 4, 1, 1, 5, 7, 7, 3, 11, 13, 13, 4, 11, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 15, 11, 1, 1, 7, 7, 7, 7, 7, 1, 5, 5, 5]"
69,69,-2.355866666666666,0.00998645168764533,"[0, 5, 5, 4, 1, 5, 1, 7, 3, 7, 11, 4, 7, 13, 0, 11, 13, 4, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 15, 11]"
70,70,-1.5234333333333334,0.00998645168764533,"[7, 3, 3, 4, 4, 7, 0, 7, 0, 0, 1, 1, 5, 5, 1, 4, 11, 3, 15, 11, 11, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 11, 11, 11]"
71,71,-3.2738333333333323,0.00998645168764533,"[7, 3, 3, 3, 5, 5, 4, 1, 11, 11, 4, 11, 5, 4, 7, 7, 13, 13, 13, 11, 11, 13, 13, 13, 13, 13, 13, 13, 11, 11, 11, 11, 11, 11, 11, 11, 13, 13, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
